"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"37280",36,"admin.","divorced","university.degree","no","no","no","cellular","aug","mon",1,5,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37282",37,"technician","married","university.degree","no","yes","no","cellular","aug","mon",1,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37284",66,"admin.","married","university.degree","no","no","no","cellular","aug","mon",2,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37285",19,"student","single","basic.9y","no","no","no","cellular","aug","mon",1,3,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37286",40,"blue-collar","married","high.school","no","yes","no","cellular","aug","mon",1,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37287",40,"admin.","married","university.degree","no","no","no","cellular","aug","mon",1,3,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37288",33,"admin.","married","high.school","no","yes","no","cellular","aug","mon",1,6,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37291",63,"housemaid","married","basic.4y","no","yes","no","telephone","aug","mon",1,6,2,"failure",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37292",35,"admin.","married","high.school","no","no","no","cellular","aug","mon",1,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37293",31,"admin.","married","high.school","no","no","yes","cellular","aug","mon",2,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37298",35,"admin.","single","high.school","no","yes","yes","cellular","aug","mon",4,2,3,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37299",21,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",2,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37302",19,"student","single","basic.9y","no","no","no","cellular","aug","mon",1,3,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37305",39,"technician","married","professional.course","no","yes","no","cellular","aug","mon",1,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37308",52,"admin.","married","university.degree","no","yes","no","cellular","aug","mon",3,4,2,"success",-2.9,92.201,-31.4,0.884,5076.2,"1"
"37310",57,"entrepreneur","married","professional.course","no","yes","no","telephone","aug","mon",1,3,1,"success",-2.9,92.201,-31.4,0.884,5076.2,"0"
"37313",34,"technician","single","professional.course","no","yes","no","cellular","aug","tue",2,12,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"1"
"37322",31,"admin.","single","university.degree","no","no","no","cellular","aug","tue",1,4,3,"success",-2.9,92.201,-31.4,0.883,5076.2,"1"
"37324",50,"management","married","university.degree","no","no","no","cellular","aug","tue",3,4,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37327",60,"retired","married","high.school","no","no","no","cellular","aug","tue",1,4,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37329",30,"admin.","single","university.degree","no","yes","yes","cellular","aug","tue",1,4,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37339",52,"management","married","high.school","no","yes","yes","cellular","aug","tue",1,10,4,"failure",-2.9,92.201,-31.4,0.883,5076.2,"1"
"37344",27,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",1,6,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37346",30,"admin.","married","university.degree","no","no","no","cellular","aug","tue",3,6,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"1"
"37357",26,"admin.","single","university.degree","no","no","no","cellular","aug","tue",1,15,1,"success",-2.9,92.201,-31.4,0.883,5076.2,"1"
"37359",56,"retired","married","high.school","no","yes","yes","cellular","aug","tue",1,3,2,"success",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37377",57,"management","married","university.degree","no","yes","no","cellular","aug","tue",1,5,2,"failure",-2.9,92.201,-31.4,0.883,5076.2,"0"
"37387",36,"admin.","divorced","university.degree","no","no","yes","cellular","aug","wed",2,6,2,"success",-2.9,92.201,-31.4,0.879,5076.2,"1"
"37394",26,"student","single","basic.9y","no","yes","no","cellular","aug","wed",1,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"1"
"37395",49,"admin.","married","high.school","no","yes","no","cellular","aug","wed",2,15,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"1"
"37401",45,"blue-collar","single","basic.9y","no","yes","no","cellular","aug","wed",1,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37403",45,"blue-collar","single","basic.9y","no","no","no","cellular","aug","wed",1,3,2,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37410",56,"admin.","married","basic.9y","no","yes","no","cellular","aug","wed",1,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"1"
"37416",29,"services","married","high.school","no","yes","no","cellular","aug","wed",2,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37418",38,"admin.","married","university.degree","no","no","no","cellular","aug","wed",1,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37421",27,"unemployed","single","high.school","no","no","no","cellular","aug","wed",1,4,3,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37434",56,"admin.","married","basic.9y","no","no","no","cellular","aug","wed",2,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"1"
"37440",45,"admin.","married","university.degree","no","no","no","cellular","aug","wed",1,4,2,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37441",44,"admin.","married","university.degree","no","no","no","cellular","aug","wed",2,4,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37445",32,"technician","married","professional.course","no","yes","no","cellular","aug","wed",1,3,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37453",28,"technician","single","professional.course","no","no","yes","cellular","aug","wed",1,3,1,"success",-2.9,92.201,-31.4,0.879,5076.2,"0"
"37460",37,"technician","single","university.degree","no","yes","yes","cellular","aug","thu",2,4,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37462",23,"student","single","high.school","no","yes","no","cellular","aug","thu",3,15,3,"failure",-2.9,92.201,-31.4,0.873,5076.2,"1"
"37466",29,"admin.","single","university.degree","no","yes","yes","cellular","aug","thu",3,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"1"
"37474",39,"admin.","married","high.school","no","no","no","cellular","aug","thu",2,4,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"1"
"37478",34,"housemaid","married","university.degree","no","no","no","cellular","aug","thu",3,4,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37484",34,"housemaid","married","university.degree","no","no","yes","cellular","aug","thu",2,6,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37494",81,"retired","married","basic.6y","no","no","no","cellular","aug","thu",2,4,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37496",22,"student","single","basic.6y","no","yes","no","cellular","aug","thu",2,4,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"1"
"37504",27,"technician","single","university.degree","no","no","no","cellular","aug","thu",1,4,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37514",48,"self-employed","married","university.degree","no","no","no","cellular","aug","thu",1,4,3,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37517",21,"student","single","high.school","no","no","no","cellular","aug","thu",2,4,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37519",44,"unemployed","married","high.school","no","yes","no","cellular","aug","thu",1,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37524",29,"management","married","university.degree","no","yes","no","cellular","aug","thu",1,4,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37525",39,"blue-collar","married","basic.6y","no","no","no","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"1"
"37528",22,"student","single","high.school","no","no","no","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37536",43,"unemployed","married","high.school","no","no","no","cellular","aug","thu",4,3,2,"success",-2.9,92.201,-31.4,0.873,5076.2,"0"
"37548",43,"management","married","basic.9y","no","yes","no","cellular","aug","fri",1,6,2,"failure",-2.9,92.201,-31.4,0.869,5076.2,"0"
"37552",61,"management","married","university.degree","no","yes","no","cellular","aug","fri",2,4,2,"success",-2.9,92.201,-31.4,0.869,5076.2,"1"
"37556",42,"management","married","university.degree","no","yes","no","cellular","aug","fri",1,13,1,"success",-2.9,92.201,-31.4,0.869,5076.2,"1"
"37559",17,"student","single","basic.9y","no","yes","no","cellular","aug","fri",3,4,2,"success",-2.9,92.201,-31.4,0.869,5076.2,"0"
"37567",55,"retired","married","basic.4y","no","yes","no","cellular","aug","fri",1,3,1,"success",-2.9,92.201,-31.4,0.869,5076.2,"1"
"37582",63,"retired","divorced","basic.4y","no","yes","no","cellular","aug","fri",2,3,1,"success",-2.9,92.201,-31.4,0.869,5076.2,"0"
"37591",20,"student","single","high.school","no","no","no","telephone","aug","fri",2,4,2,"success",-2.9,92.201,-31.4,0.869,5076.2,"0"
"37598",76,"retired","married","professional.course","no","no","no","cellular","aug","mon",1,15,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"1"
"37611",25,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",1,6,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"1"
"37621",50,"blue-collar","married","basic.4y","no","no","no","cellular","aug","mon",2,15,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"0"
"37626",44,"admin.","single","university.degree","no","no","no","cellular","aug","mon",1,6,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"1"
"37628",23,"technician","married","professional.course","no","yes","no","cellular","aug","mon",1,3,2,"success",-2.9,92.201,-31.4,0.861,5076.2,"1"
"37634",41,"admin.","single","high.school","no","yes","no","cellular","aug","mon",1,6,1,"success",-2.9,92.201,-31.4,0.861,5076.2,"1"
"37644",61,"retired","married","university.degree","no","no","no","telephone","aug","tue",2,3,1,"success",-2.9,92.201,-31.4,0.859,5076.2,"1"
"37649",33,"admin.","married","high.school","no","no","yes","cellular","aug","tue",1,6,2,"success",-2.9,92.201,-31.4,0.859,5076.2,"0"
"37664",34,"technician","married","professional.course","no","no","no","cellular","aug","tue",1,13,1,"success",-2.9,92.201,-31.4,0.859,5076.2,"1"
"37676",74,"retired","divorced","basic.4y","no","yes","no","cellular","aug","wed",1,13,1,"success",-2.9,92.201,-31.4,0.854,5076.2,"1"
"37688",33,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",1,1,1,"success",-2.9,92.201,-31.4,0.854,5076.2,"1"
"37692",33,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",1,3,1,"success",-2.9,92.201,-31.4,0.854,5076.2,"0"
"37694",64,"retired","married","basic.4y","no","yes","no","cellular","aug","wed",1,3,2,"success",-2.9,92.201,-31.4,0.854,5076.2,"1"
"37705",37,"admin.","divorced","university.degree","no","no","no","cellular","aug","thu",3,9,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37709",34,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",6,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37711",35,"blue-collar","divorced","high.school","no","no","no","cellular","aug","thu",1,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37714",32,"management","single","university.degree","no","no","no","cellular","aug","thu",1,3,2,"success",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37717",71,"retired","single","university.degree","no","yes","no","cellular","aug","thu",1,6,2,"failure",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37727",28,"technician","single","professional.course","no","yes","no","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"1"
"37739",61,"retired","married","basic.4y","no","yes","no","cellular","aug","fri",1,15,1,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37748",24,"student","single","high.school","no","yes","no","cellular","aug","fri",1,6,4,"failure",-2.9,92.201,-31.4,0.849,5076.2,"0"
"37753",34,"unemployed","single","professional.course","no","no","no","cellular","aug","fri",2,2,1,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37754",54,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",2,3,1,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37757",79,"housemaid","married","basic.4y","no","no","no","cellular","aug","fri",1,3,2,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37759",36,"admin.","single","high.school","no","yes","no","cellular","aug","fri",1,3,2,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37761",39,"admin.","married","university.degree","no","yes","yes","cellular","aug","fri",2,14,1,"success",-2.9,92.201,-31.4,0.849,5076.2,"1"
"37762",35,"admin.","married","university.degree","no","yes","no","cellular","aug","fri",5,3,2,"success",-2.9,92.201,-31.4,0.849,5076.2,"0"
"37780",64,"retired","married","basic.9y","no","yes","no","cellular","aug","mon",2,3,1,"success",-2.9,92.201,-31.4,0.843,5076.2,"0"
"37787",43,"services","married","high.school","no","no","yes","cellular","aug","tue",2,3,2,"success",-2.9,92.201,-31.4,0.838,5076.2,"0"
"37790",51,"admin.","divorced","high.school","no","yes","no","cellular","aug","tue",1,6,1,"success",-2.9,92.201,-31.4,0.838,5076.2,"1"
"37793",51,"admin.","divorced","high.school","no","no","no","cellular","aug","tue",1,6,2,"failure",-2.9,92.201,-31.4,0.838,5076.2,"0"
"37804",62,"retired","married","professional.course","no","yes","no","cellular","aug","tue",3,6,1,"success",-2.9,92.201,-31.4,0.838,5076.2,"1"
"37806",58,"retired","married","high.school","no","yes","no","cellular","aug","tue",6,3,1,"success",-2.9,92.201,-31.4,0.838,5076.2,"1"
"37807",53,"admin.","divorced","high.school","no","yes","no","cellular","aug","tue",2,3,1,"success",-2.9,92.201,-31.4,0.838,5076.2,"0"
"37809",43,"admin.","married","high.school","no","yes","no","cellular","aug","tue",2,3,2,"success",-2.9,92.201,-31.4,0.838,5076.2,"1"
"37810",43,"admin.","married","university.degree","no","no","yes","cellular","aug","tue",3,13,1,"success",-2.9,92.201,-31.4,0.838,5076.2,"0"
"37813",49,"entrepreneur","single","university.degree","no","yes","no","cellular","aug","wed",6,5,1,"success",-2.9,92.201,-31.4,0.834,5076.2,"0"
"37820",80,"retired","married","basic.4y","no","yes","no","cellular","aug","wed",1,3,2,"success",-2.9,92.201,-31.4,0.834,5076.2,"0"
"37828",59,"admin.","single","university.degree","no","no","no","cellular","aug","thu",3,15,1,"success",-2.9,92.201,-31.4,0.829,5076.2,"1"
"37832",50,"admin.","married","university.degree","no","no","yes","cellular","aug","thu",1,15,2,"failure",-2.9,92.201,-31.4,0.829,5076.2,"1"
"37835",31,"admin.","single","university.degree","no","no","no","cellular","aug","thu",1,3,1,"success",-2.9,92.201,-31.4,0.829,5076.2,"1"
"37851",33,"admin.","married","high.school","no","no","no","cellular","aug","fri",3,15,1,"success",-2.9,92.201,-31.4,0.825,5076.2,"1"
"37861",26,"student","single","high.school","no","yes","no","cellular","aug","fri",2,6,2,"failure",-2.9,92.201,-31.4,0.825,5076.2,"1"
"37864",30,"student","married","university.degree","no","no","no","cellular","aug","mon",2,3,2,"success",-2.9,92.201,-31.4,0.821,5076.2,"1"
"37876",30,"student","married","university.degree","no","yes","no","cellular","aug","mon",3,3,1,"success",-2.9,92.201,-31.4,0.821,5076.2,"1"
"37881",38,"admin.","married","high.school","no","yes","no","cellular","aug","mon",1,6,2,"failure",-2.9,92.201,-31.4,0.821,5076.2,"1"
"37885",63,"retired","married","university.degree","no","yes","no","cellular","aug","mon",1,6,2,"failure",-2.9,92.201,-31.4,0.821,5076.2,"0"
"37891",39,"entrepreneur","married","basic.6y","no","yes","no","cellular","sep","tue",2,16,1,"success",-3.4,92.379,-29.8,0.819,5017.5,"1"
"37897",27,"management","single","university.degree","no","yes","no","cellular","sep","tue",2,4,2,"success",-3.4,92.379,-29.8,0.819,5017.5,"0"
"37908",39,"entrepreneur","married","basic.6y","no","no","no","cellular","sep","tue",4,16,2,"failure",-3.4,92.379,-29.8,0.819,5017.5,"0"
"37916",60,"unemployed","married","basic.6y","no","yes","no","cellular","sep","thu",1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"0"
"37919",25,"admin.","single","university.degree","no","yes","no","cellular","sep","thu",1,1,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"0"
"37920",26,"admin.","single","university.degree","no","yes","no","telephone","sep","thu",1,7,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"1"
"37926",60,"retired","married","professional.course","no","yes","no","cellular","sep","thu",1,3,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"1"
"37928",44,"admin.","married","university.degree","no","yes","no","cellular","sep","thu",1,14,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"0"
"37932",43,"technician","married","high.school","no","yes","yes","cellular","sep","thu",1,3,2,"success",-3.4,92.379,-29.8,0.809,5017.5,"0"
"37940",59,"management","married","university.degree","no","yes","no","cellular","sep","fri",2,3,1,"success",-3.4,92.379,-29.8,0.803,5017.5,"1"
"37954",39,"blue-collar","married","basic.9y","no","yes","no","cellular","sep","fri",1,3,1,"success",-3.4,92.379,-29.8,0.803,5017.5,"1"
"37955",72,"retired","married","basic.4y","no","no","no","cellular","sep","fri",1,3,2,"success",-3.4,92.379,-29.8,0.803,5017.5,"1"
"37971",61,"retired","married","university.degree","no","no","no","cellular","sep","mon",1,3,2,"success",-3.4,92.379,-29.8,0.797,5017.5,"1"
"37981",28,"technician","married","high.school","no","yes","no","cellular","sep","mon",1,4,1,"success",-3.4,92.379,-29.8,0.797,5017.5,"0"
"37988",45,"admin.","married","university.degree","no","no","no","cellular","sep","mon",1,3,2,"success",-3.4,92.379,-29.8,0.797,5017.5,"1"
"37997",49,"admin.","married","high.school","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"1"
"37999",66,"management","divorced","university.degree","no","no","no","cellular","sep","tue",1,1,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"1"
"38001",39,"self-employed","divorced","high.school","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"1"
"38005",43,"technician","married","high.school","no","yes","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"1"
"38009",39,"self-employed","divorced","high.school","no","no","no","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"1"
"38012",35,"services","married","high.school","no","no","no","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"0"
"38016",69,"retired","married","basic.9y","no","yes","no","cellular","sep","wed",1,5,1,"success",-3.4,92.379,-29.8,0.781,5017.5,"0"
"38034",76,"retired","married","basic.4y","no","yes","no","cellular","sep","wed",2,3,1,"success",-3.4,92.379,-29.8,0.781,5017.5,"1"
"38035",56,"admin.","married","university.degree","no","yes","no","cellular","sep","thu",2,3,2,"success",-3.4,92.379,-29.8,0.778,5017.5,"1"
"38038",25,"admin.","single","high.school","no","no","no","cellular","sep","thu",1,3,1,"success",-3.4,92.379,-29.8,0.778,5017.5,"1"
"38047",34,"admin.","single","university.degree","no","no","no","cellular","sep","fri",3,3,2,"success",-3.4,92.379,-29.8,0.773,5017.5,"1"
"38048",49,"admin.","divorced","university.degree","no","yes","no","cellular","sep","fri",3,3,1,"success",-3.4,92.379,-29.8,0.773,5017.5,"1"
"38054",28,"admin.","single","university.degree","no","yes","no","cellular","sep","fri",1,1,3,"success",-3.4,92.379,-29.8,0.773,5017.5,"1"
"38064",47,"management","married","university.degree","no","yes","no","cellular","sep","mon",1,3,2,"success",-3.4,92.379,-29.8,0.771,5017.5,"1"
"38072",70,"retired","married","basic.4y","no","no","no","cellular","sep","tue",1,3,2,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38076",29,"admin.","single","high.school","no","yes","no","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38077",27,"admin.","married","university.degree","no","yes","no","cellular","sep","tue",2,6,2,"failure",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38078",24,"technician","married","university.degree","no","yes","yes","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38080",51,"services","married","high.school","no","yes","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"0"
"38082",70,"admin.","married","basic.4y","no","yes","yes","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38083",24,"admin.","single","university.degree","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38085",53,"technician","married","professional.course","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"1"
"38088",47,"admin.","divorced","high.school","no","yes","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"0"
"38089",70,"admin.","married","basic.4y","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"0"
"38092",31,"self-employed","married","university.degree","no","no","no","cellular","sep","wed",1,3,1,"success",-3.4,92.379,-29.8,0.768,5017.5,"1"
"38107",56,"unemployed","married","professional.course","no","no","no","cellular","sep","fri",3,6,1,"success",-3.4,92.379,-29.8,0.762,5017.5,"1"
"38110",37,"technician","married","university.degree","no","yes","no","telephone","sep","tue",1,3,2,"success",-3.4,92.379,-29.8,0.755,5017.5,"1"
"38112",60,"self-employed","divorced","university.degree","no","no","no","cellular","sep","tue",1,3,1,"success",-3.4,92.379,-29.8,0.755,5017.5,"1"
"38114",44,"technician","married","professional.course","no","yes","no","cellular","sep","tue",1,4,1,"success",-3.4,92.379,-29.8,0.755,5017.5,"1"
"38115",22,"services","single","professional.course","no","yes","yes","cellular","sep","tue",1,3,2,"success",-3.4,92.379,-29.8,0.755,5017.5,"1"
"38118",63,"housemaid","married","basic.4y","no","yes","no","cellular","sep","wed",1,3,1,"success",-3.4,92.379,-29.8,0.749,5017.5,"1"
"38129",68,"retired","single","university.degree","no","yes","no","cellular","sep","fri",1,3,1,"success",-3.4,92.379,-29.8,0.741,5017.5,"0"
"38139",30,"admin.","married","university.degree","no","no","no","cellular","sep","mon",2,6,1,"success",-3.4,92.379,-29.8,0.739,5017.5,"1"
"38149",61,"retired","married","high.school","no","yes","no","cellular","sep","wed",1,3,1,"success",-3.4,92.379,-29.8,0.753,5017.5,"1"
"38155",50,"management","married","university.degree","no","yes","no","cellular","oct","thu",2,4,1,"success",-3.4,92.431,-26.9,0.754,5017.5,"1"
"38159",35,"admin.","married","high.school","no","yes","no","cellular","oct","thu",1,4,1,"success",-3.4,92.431,-26.9,0.754,5017.5,"1"
"38160",35,"admin.","married","high.school","no","no","no","cellular","oct","thu",1,4,2,"success",-3.4,92.431,-26.9,0.754,5017.5,"0"
"38172",51,"technician","married","professional.course","no","yes","no","cellular","oct","thu",6,6,3,"failure",-3.4,92.431,-26.9,0.754,5017.5,"0"
"38174",23,"unemployed","single","basic.9y","no","yes","no","cellular","oct","thu",1,4,1,"success",-3.4,92.431,-26.9,0.754,5017.5,"1"
"38180",83,"retired","married","professional.course","no","yes","no","cellular","oct","fri",2,4,1,"success",-3.4,92.431,-26.9,0.752,5017.5,"1"
"38183",28,"unemployed","single","basic.4y","no","yes","no","cellular","oct","fri",2,4,1,"success",-3.4,92.431,-26.9,0.752,5017.5,"0"
"38209",34,"self-employed","married","university.degree","no","no","no","cellular","oct","wed",1,5,3,"failure",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38210",58,"technician","married","basic.4y","no","no","yes","cellular","oct","wed",2,4,2,"success",-3.4,92.431,-26.9,0.74,5017.5,"0"
"38213",48,"management","married","university.degree","no","no","no","cellular","oct","wed",1,6,1,"success",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38231",54,"management","divorced","university.degree","no","yes","no","cellular","oct","thu",2,6,1,"success",-3.4,92.431,-26.9,0.741,5017.5,"1"
"38239",42,"management","single","university.degree","no","no","no","cellular","oct","mon",1,6,1,"success",-3.4,92.431,-26.9,0.743,5017.5,"0"
"38246",33,"blue-collar","married","basic.4y","no","yes","no","telephone","oct","mon",3,3,1,"success",-3.4,92.431,-26.9,0.743,5017.5,"0"
"38251",44,"technician","married","basic.9y","no","yes","no","cellular","oct","tue",1,2,1,"success",-3.4,92.431,-26.9,0.742,5017.5,"0"
"38270",32,"admin.","married","professional.course","no","no","yes","cellular","oct","tue",1,6,1,"success",-3.4,92.431,-26.9,0.742,5017.5,"1"
"38271",22,"student","single","high.school","no","yes","no","cellular","oct","tue",1,6,1,"success",-3.4,92.431,-26.9,0.742,5017.5,"1"
"38279",48,"admin.","married","basic.6y","no","yes","no","cellular","oct","tue",2,5,2,"success",-3.4,92.431,-26.9,0.742,5017.5,"0"
"38288",36,"admin.","single","university.degree","no","yes","no","cellular","oct","wed",1,2,2,"success",-3.4,92.431,-26.9,0.742,5017.5,"0"
"38313",40,"services","married","professional.course","no","yes","no","cellular","oct","thu",1,3,1,"success",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38315",74,"retired","married","professional.course","no","yes","no","cellular","oct","thu",2,3,1,"success",-3.4,92.431,-26.9,0.74,5017.5,"0"
"38317",74,"retired","married","basic.9y","no","yes","no","cellular","oct","thu",2,6,1,"success",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38319",37,"blue-collar","married","basic.6y","no","no","no","cellular","oct","thu",2,6,3,"failure",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38320",33,"admin.","single","university.degree","no","yes","no","telephone","oct","thu",3,6,2,"success",-3.4,92.431,-26.9,0.74,5017.5,"1"
"38326",28,"services","married","basic.9y","no","yes","no","cellular","oct","fri",1,2,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"1"
"38331",39,"technician","married","university.degree","no","no","no","cellular","oct","fri",1,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"1"
"38334",38,"admin.","married","university.degree","no","yes","no","cellular","oct","fri",2,8,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38335",39,"technician","married","university.degree","no","yes","no","cellular","oct","fri",1,7,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38343",36,"services","married","high.school","no","yes","no","cellular","oct","fri",1,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38349",33,"admin.","married","university.degree","no","no","no","cellular","oct","fri",1,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"1"
"38353",34,"management","married","university.degree","no","yes","no","cellular","oct","fri",1,2,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38355",32,"admin.","single","university.degree","no","no","no","cellular","oct","fri",2,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38367",36,"admin.","single","high.school","no","yes","no","cellular","oct","mon",1,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"0"
"38394",33,"admin.","married","university.degree","no","yes","no","cellular","oct","tue",2,6,1,"success",-3.4,92.431,-26.9,0.737,5017.5,"1"
"38399",60,"technician","married","basic.4y","no","yes","no","cellular","oct","tue",2,6,1,"success",-3.4,92.431,-26.9,0.737,5017.5,"1"
"38401",59,"housemaid","married","basic.4y","no","yes","no","cellular","oct","tue",2,6,1,"success",-3.4,92.431,-26.9,0.737,5017.5,"1"
"38406",44,"admin.","married","university.degree","no","yes","no","cellular","oct","wed",3,6,1,"success",-3.4,92.431,-26.9,0.735,5017.5,"1"
"38408",38,"admin.","married","university.degree","no","yes","no","cellular","oct","wed",1,6,1,"success",-3.4,92.431,-26.9,0.735,5017.5,"1"
